credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary
358,2,2,52.0,8,143542.36,3,1,0,141959.11
619,1,1,44.0,3,116967.68,1,1,0,5075.17
850,3,1,56.0,1,169743.83,1,0,0,155850.4
525,2,2,37.0,0,0.0,1,0,1,131521.72
637,1,1,27.0,9,128940.24,1,1,0,46786.92
684,2,2,24.0,9,79263.9,1,0,1,196574.48
640,3,2,31.0,10,118613.34,1,1,0,168469.65
742,1,2,28.0,2,191864.51,1,1,0,108457.99
648,2,2,54.0,7,118241.02,1,1,0,172586.89
644,2,2,46.0,6,12459.19,1,0,0,156787.34
777,3,2,37.0,10,121532.17,2,1,1,73464.88
427,1,1,33.0,8,0.0,1,1,1,13858.95
651,3,1,35.0,8,110067.71,1,1,0,127678.95
764,2,2,48.0,1,75990.97,1,1,0,158323.81
576,3,1,29.0,7,130575.26,1,0,1,173629.78
611,1,1,40.0,1,0.0,2,1,1,102547.56
710,1,2,37.0,5,0.0,2,1,0,115403.31
700,3,2,39.0,5,144550.83,2,1,1,189664.43
725,1,1,35.0,7,75915.75,1,1,0,150507.43
580,2,1,61.0,8,125921.37,1,1,1,94677.83
731,3,2,49.0,4,88826.07,1,1,1,33759.41
683,1,1,72.0,3,140997.26,1,0,1,52876.41
581,2,2,24.0,10,159203.71,1,1,1,102517.83
644,1,1,33.0,9,141234.98,1,1,0,95673.05
590,1,1,24.0,7,126431.54,1,1,0,58781.11
558,3,1,25.0,10,111363.1,2,1,0,197264.35
589,3,2,20.0,2,121093.29,2,1,0,3529.72
768,3,1,48.0,3,122831.58,1,1,1,24533.89
751,3,1,36.0,5,73194.99,1,1,1,89222.66
606,2,1,38.0,7,128578.52,1,1,1,193878.51
690,1,1,54.0,5,0.0,1,1,0,12847.61
646,1,2,42.0,3,175159.9,2,0,0,67124.48
674,3,2,36.0,6,100762.64,1,1,0,182156.86
525,2,2,60.0,7,0.0,2,0,1,168034.9
727,1,1,52.0,4,0.0,2,1,1,118429.02
658,2,1,35.0,9,71829.34,1,1,1,68141.92
845,1,2,28.0,9,0.0,2,1,1,56185.98
646,3,1,24.0,0,92398.08,1,1,1,18897.29
691,3,2,41.0,8,109153.96,3,1,1,148848.76
553,2,1,47.0,3,116528.15,1,0,0,145704.19
731,1,1,31.0,1,132512.26,1,1,1,185466.85
647,3,1,37.0,3,116509.99,1,1,1,149517.71
674,1,2,28.0,3,0.0,1,1,0,51536.99
758,3,2,23.0,5,122739.1,1,1,0,102460.84
613,1,1,26.0,4,100446.57,1,0,1,149653.81
765,3,1,34.0,5,86055.17,2,1,1,104220.5
550,1,1,25.0,0,0.0,2,1,1,184221.11
717,1,1,38.0,7,0.0,2,1,1,158580.05
689,3,2,28.0,2,64808.32,2,0,0,78591.15
630,2,1,41.0,7,107511.52,1,0,1,46156.87
554,1,2,44.0,6,92436.86,1,1,0,126033.9
811,3,2,28.0,4,167738.82,2,1,1,9903.42
592,2,1,45.0,8,84692.5,1,0,1,67214.02
765,3,1,37.0,7,102708.77,1,1,0,9087.81
637,1,1,40.0,8,125470.81,1,1,1,174536.17
581,1,1,25.0,5,77886.53,2,1,0,150319.49
668,1,1,72.0,2,0.0,2,1,1,70783.61
802,2,1,41.0,5,0.0,2,1,1,134626.3
684,3,1,18.0,9,90544.0,1,0,1,4777.23
804,1,1,25.0,7,108396.67,1,1,0,128276.95
705,2,2,39.0,8,144102.32,1,1,1,11682.36
785,3,2,38.0,9,107199.75,1,0,0,146398.51
700,1,2,26.0,2,0.0,2,0,0,50051.42
627,1,2,32.0,1,0.0,1,1,0,106851.7
745,2,1,34.0,9,0.0,2,1,0,50046.25
651,1,1,35.0,2,86911.8,1,1,0,174094.24
692,2,2,44.0,8,0.0,1,0,1,159069.37
739,3,1,54.0,8,126418.14,1,1,0,134420.75
775,3,2,38.0,4,125212.65,2,1,1,15795.88
573,1,2,37.0,6,0.0,2,1,0,193995.37
850,3,2,36.0,0,136980.23,2,1,1,99019.65
447,1,1,43.0,2,0.0,2,1,0,33879.26
701,2,2,33.0,7,123870.07,1,1,0,97794.71
685,2,1,39.0,9,0.0,2,1,1,18826.06
675,2,1,32.0,10,0.0,2,1,0,191545.65
526,1,1,30.0,9,0.0,2,0,0,100995.68
597,2,1,24.0,0,108058.07,2,1,1,187826.11
648,2,2,28.0,9,102282.61,1,1,1,157891.11
673,3,2,77.0,10,76510.52,2,0,1,59595.66
546,1,2,20.0,6,0.0,1,0,1,20508.85
624,1,1,51.0,10,123401.43,2,1,1,127825.25
604,2,1,23.0,9,124577.33,1,1,1,7267.25
465,3,1,53.0,1,117438.17,1,0,0,74898.8
522,2,1,30.0,3,0.0,2,1,0,145490.85
850,1,2,43.0,3,0.0,2,0,0,2465.8
439,1,2,29.0,6,156569.43,1,1,0,180598.66
642,2,1,34.0,8,0.0,1,1,0,72085.1
767,2,1,77.0,8,149083.7,1,1,1,190146.83
683,3,2,57.0,5,162448.69,1,0,0,9221.78
850,2,2,29.0,10,0.0,2,1,1,94815.04
580,2,2,65.0,1,0.0,2,0,1,103182.46
747,1,2,47.0,5,139914.6,4,0,1,129964.56
706,2,2,42.0,8,95386.82,1,1,1,75732.25
638,2,2,55.0,2,155828.22,1,0,1,108987.25
564,1,1,31.0,0,110527.17,1,1,1,87060.77
655,3,2,40.0,0,81954.6,1,1,1,198798.44
779,1,2,42.0,5,0.0,2,0,0,25951.91
837,1,2,38.0,2,0.0,2,1,1,46395.21
588,3,1,41.0,2,131341.46,2,0,1,7034.94
595,1,2,33.0,9,0.0,2,1,1,41447.86
641,1,2,35.0,4,0.0,2,0,0,125986.18
690,1,2,42.0,3,92578.14,2,0,0,70810.6
688,3,2,40.0,8,150679.71,2,0,1,196226.38
677,3,1,34.0,3,126729.41,1,1,1,26106.39
659,1,2,32.0,2,155584.21,1,0,1,153662.88
631,2,1,33.0,2,0.0,2,1,1,158268.84
683,2,2,24.0,8,98567.1,1,1,0,187987.01
566,1,2,21.0,3,0.0,2,1,1,3626.47
710,2,1,62.0,3,131078.42,2,1,0,119348.76
549,3,2,43.0,3,134985.66,1,1,0,6101.41
659,1,1,43.0,1,106086.42,2,1,0,26900.63
563,2,1,32.0,6,0.0,2,1,1,19720.08
730,1,1,39.0,1,116537.6,1,0,0,145679.6
741,3,2,36.0,0,127675.39,2,1,0,74260.16
518,1,1,46.0,3,0.0,2,1,0,76515.79
568,3,1,40.0,1,99282.63,1,0,0,134600.94
775,3,2,77.0,6,135120.56,1,1,0,37836.64
640,1,2,29.0,3,0.0,2,1,0,2743.69
759,1,1,44.0,2,111095.58,2,1,0,100137.7
542,1,2,29.0,7,0.0,2,0,1,196651.72
797,1,1,29.0,1,0.0,1,0,1,149991.32
590,2,1,37.0,6,169902.92,1,1,1,128256.18
693,3,1,25.0,6,146580.69,1,0,1,14633.35
676,1,1,20.0,1,80569.73,1,0,0,68621.98
700,1,2,42.0,8,0.0,2,1,1,105305.72
708,1,1,34.0,3,0.0,1,0,1,121457.88
615,1,2,61.0,1,104267.7,1,1,0,62845.64
770,1,1,36.0,2,89800.14,1,1,1,105922.69
567,1,2,35.0,5,166118.45,2,1,0,127827.18
778,3,2,29.0,7,123229.46,1,1,0,181221.09
713,1,1,43.0,5,86394.14,1,1,1,130001.13
696,3,1,43.0,4,114091.38,1,0,1,159888.1
583,2,1,47.0,5,102562.23,1,1,0,92708.1
624,2,2,36.0,0,0.0,2,1,0,111605.9
786,1,1,37.0,7,165896.22,2,1,1,66977.68
623,1,1,27.0,4,120509.81,1,0,0,142170.44
523,1,1,34.0,2,161588.89,1,1,1,51358.66
588,1,2,36.0,2,0.0,2,1,0,92536.0
665,2,1,29.0,1,182781.74,2,1,1,63732.9
611,2,1,52.0,7,0.0,1,0,1,73585.18
653,1,1,51.0,3,0.0,1,1,0,170426.65
411,1,2,54.0,9,0.0,1,0,1,76621.49
617,1,2,35.0,5,0.0,2,0,1,13066.3
612,1,1,24.0,1,182705.05,1,1,1,171837.06
681,1,1,29.0,8,0.0,1,1,0,66367.33
806,1,2,67.0,1,0.0,2,0,1,103945.58
731,2,2,37.0,1,128932.4,1,1,1,180712.52
637,3,2,39.0,3,109698.41,1,1,1,88391.29
657,2,1,41.0,8,109402.13,1,1,1,66463.62
637,1,1,32.0,3,0.0,2,1,1,197827.06
737,3,2,40.0,2,162485.8,2,1,0,149381.32
630,1,2,28.0,1,0.0,2,1,1,133267.78
559,1,2,46.0,5,0.0,1,1,0,21006.1
769,1,1,48.0,2,96542.16,2,0,1,197885.72
633,1,2,26.0,8,124281.84,1,1,1,60116.57
606,2,2,53.0,1,109330.06,1,1,1,75860.01
814,1,1,31.0,1,118870.92,1,1,0,101704.19
538,2,2,42.0,9,0.0,1,0,0,152855.96
821,3,1,45.0,0,135827.33,2,1,1,131778.58
570,1,2,46.0,3,0.0,2,0,0,820.46
714,1,1,34.0,5,141173.03,1,0,1,98896.06
655,2,1,38.0,9,0.0,1,0,1,90490.33
482,1,2,35.0,2,133111.73,1,0,1,79957.95
623,1,2,35.0,0,130557.24,1,1,1,47880.71
452,1,2,35.0,8,0.0,2,1,1,149614.81
594,1,1,50.0,7,81310.34,1,1,1,183868.01
798,3,2,38.0,4,129055.13,1,1,0,157147.59
683,1,2,33.0,9,0.0,2,1,1,38784.42
725,3,1,40.0,8,104149.66,1,1,0,62027.9
758,2,1,56.0,1,0.0,2,1,1,10643.38
638,3,2,41.0,9,144326.09,1,1,0,73979.85
725,1,2,31.0,6,0.0,1,0,0,61326.43
712,1,1,33.0,2,182888.08,1,1,0,3061.0
645,1,1,39.0,8,0.0,2,0,0,96864.36
687,2,2,39.0,2,0.0,3,0,0,188150.6
664,1,1,57.0,6,0.0,2,1,1,15304.08
811,3,2,34.0,1,149297.19,2,1,1,186339.74
775,3,1,33.0,3,83501.66,2,1,0,128841.31
784,1,1,38.0,5,136712.91,1,0,1,169920.92
762,2,2,60.0,10,168920.75,1,1,0,31445.03
650,1,2,27.0,6,0.0,2,1,0,1002.39
610,3,1,36.0,7,115462.02,1,0,1,42581.04
582,2,1,33.0,6,0.0,2,0,1,72970.93
536,2,2,28.0,4,0.0,1,1,1,136197.65
472,1,1,29.0,8,102490.27,1,0,1,181224.56
548,1,1,57.0,6,76165.65,1,1,1,133537.53
726,1,2,38.0,4,0.0,2,0,0,6787.48
486,1,1,26.0,2,0.0,2,1,1,31399.4
647,3,1,30.0,6,143138.91,2,1,0,2955.46
741,1,1,39.0,5,0.0,1,0,1,40207.06
373,1,1,42.0,7,0.0,1,1,0,77786.37
850,3,1,36.0,5,119984.07,1,1,0,191535.11
563,1,2,35.0,2,183572.84,1,1,1,66006.75
542,1,1,38.0,8,65942.26,1,1,1,68093.23
742,2,1,24.0,8,0.0,2,1,0,4070.28
743,3,1,65.0,2,131935.51,1,1,1,96399.67
694,3,1,33.0,4,124067.32,1,1,1,77906.87
413,1,1,34.0,9,0.0,2,0,0,6534.18
760,2,2,57.0,1,0.0,2,1,1,25101.17
541,1,1,36.0,5,0.0,2,1,0,124795.84
494,3,2,38.0,7,174937.64,1,1,0,40084.32
462,1,1,27.0,4,176913.52,1,1,0,80587.27
850,1,1,38.0,5,0.0,2,1,0,16491.64
606,1,1,32.0,5,83161.65,1,1,1,116885.59
534,2,1,34.0,5,170600.78,1,0,1,5240.53
646,1,1,50.0,0,104129.24,2,1,0,181794.86
730,1,2,35.0,0,155470.55,1,1,1,53718.28
566,1,2,42.0,6,0.0,1,1,0,180702.12
677,1,2,37.0,3,0.0,2,1,1,38252.25
776,2,1,39.0,2,104349.45,1,0,0,79503.05
636,3,2,48.0,3,120568.41,1,1,0,190160.04
516,1,2,47.0,6,109387.33,1,0,0,121365.45
592,2,1,31.0,7,110071.1,1,0,0,43921.36
700,1,1,26.0,4,119009.57,1,1,0,141926.43
579,1,2,26.0,10,162482.76,1,1,1,18458.2
522,3,1,25.0,1,111432.13,1,1,1,168683.57
543,1,2,42.0,5,0.0,2,0,0,101905.34
632,1,1,40.0,5,147650.68,1,1,1,199674.83
652,2,2,75.0,10,0.0,2,1,1,114675.75
724,3,2,35.0,0,171982.95,2,0,1,167313.07
715,1,1,32.0,8,175307.32,1,1,0,187051.23
739,3,1,58.0,1,110597.76,1,0,1,160122.66
640,2,2,46.0,3,0.0,1,1,1,156260.08
637,3,1,41.0,2,138014.4,2,1,0,140298.24
569,1,1,35.0,10,124525.52,1,1,1,193793.78
774,3,1,42.0,2,132193.94,2,1,1,162865.52
767,3,2,35.0,6,132253.22,1,1,0,115566.57
722,1,1,40.0,6,0.0,2,1,1,111893.09
686,1,1,35.0,4,0.0,1,1,0,8816.37
780,2,2,33.0,6,145580.61,1,1,1,154598.56
591,1,1,33.0,9,131765.72,1,1,0,118782.06
850,1,2,62.0,1,124678.35,1,1,0,70916.0
808,3,1,39.0,3,124216.93,1,0,1,171442.36
623,1,1,48.0,5,118469.38,1,1,1,158590.25
510,1,2,52.0,6,191665.21,1,1,1,131312.56
714,2,2,31.0,6,152926.6,1,1,1,50899.91
704,1,1,23.0,6,166594.78,1,1,1,155823.2
772,3,1,30.0,6,99785.28,2,0,0,197238.03
501,1,2,34.0,5,0.0,1,1,0,27380.99
777,3,2,46.0,0,107362.8,1,1,0,487.3
487,2,2,31.0,1,0.0,2,1,0,158750.13
623,1,2,24.0,5,0.0,2,1,0,116160.04
648,2,1,42.0,2,98795.61,2,1,0,89123.99
621,1,1,47.0,0,0.0,1,1,1,133831.37
553,1,1,37.0,2,0.0,2,1,0,33877.29
596,1,1,42.0,7,0.0,2,1,1,121568.37
660,3,2,29.0,6,180520.29,1,1,1,123850.58
432,1,1,42.0,9,152603.45,1,1,0,110265.24
785,2,2,61.0,4,129855.72,2,1,0,170214.82
769,3,2,34.0,7,137239.17,1,1,1,71379.92
672,1,2,45.0,9,0.0,1,1,1,92027.69
477,3,2,24.0,2,95675.62,2,0,0,162699.7
710,2,2,27.0,2,135277.96,1,1,0,142200.15
850,1,1,40.0,6,97339.99,1,0,1,88815.25
520,3,1,61.0,8,133802.29,2,1,1,90304.01
623,1,2,24.0,7,148167.83,2,1,1,109470.34
565,1,1,36.0,6,106192.1,1,1,0,149575.59
771,2,2,41.0,5,0.0,2,0,1,92914.67
710,2,1,23.0,6,0.0,2,1,1,134188.11
723,1,1,30.0,3,124119.54,1,1,0,162198.32
601,1,2,40.0,3,92055.36,1,0,1,164652.02
710,1,1,47.0,5,158623.14,1,0,0,83499.89
555,1,1,40.0,10,139930.18,1,1,1,105720.09
601,1,1,40.0,10,127847.86,1,0,0,173245.68
742,1,1,32.0,6,160485.16,1,1,0,29023.03
765,2,1,45.0,2,91549.78,1,1,1,47139.44
689,3,1,45.0,0,130170.82,2,1,0,150856.38
592,1,1,60.0,9,0.0,4,1,1,13614.01
677,1,2,24.0,0,148298.59,2,0,0,182913.95
809,3,1,50.0,10,118098.62,1,1,1,100720.02
649,2,1,32.0,1,0.0,1,0,1,91167.19
554,2,1,66.0,8,0.0,2,1,1,116747.62
543,1,1,30.0,4,140916.81,1,1,0,157711.18
546,2,2,45.0,2,0.0,1,0,0,197789.83
774,3,1,36.0,9,130809.77,1,1,0,152290.28
537,1,1,28.0,0,88963.31,2,1,1,189839.93
655,2,2,28.0,3,113811.85,2,0,1,76844.23
651,3,1,29.0,3,121890.06,1,1,0,54530.51
643,2,1,34.0,3,83132.09,1,1,1,21360.88
681,1,2,29.0,2,148143.84,1,1,1,52021.39
850,3,2,39.0,5,114491.82,1,1,0,99689.48
568,1,1,51.0,4,0.0,3,1,1,66586.56
641,1,2,40.0,9,0.0,1,0,0,151648.66
487,1,2,53.0,10,89550.85,1,0,1,90076.85
703,2,1,39.0,6,152685.4,1,0,0,183656.12
686,2,1,22.0,8,0.0,2,0,0,142331.85
688,1,2,38.0,7,123544.21,1,1,1,157664.02
697,1,1,40.0,4,0.0,2,0,1,26543.28
793,1,1,56.0,8,119496.25,2,1,0,29880.99
480,2,1,39.0,5,121626.9,1,1,1,82438.13
610,1,1,36.0,4,129440.3,2,1,0,102638.35
709,1,1,36.0,0,0.0,2,1,0,46811.77
508,1,2,60.0,7,143262.04,1,1,1,129562.74
517,2,2,29.0,5,0.0,2,1,0,103402.88
537,1,2,45.0,7,158621.04,1,1,0,120892.96
701,1,1,39.0,9,140236.98,1,0,1,146651.99
579,3,1,31.0,6,139729.54,1,0,1,135815.38
566,3,1,54.0,4,118614.6,2,1,1,172601.62
774,1,2,36.0,9,114997.42,1,1,0,75304.09
577,1,1,37.0,2,127261.35,1,1,0,56185.05
850,3,2,66.0,0,127120.62,1,0,1,118929.64
702,2,2,26.0,4,135219.57,1,0,1,59747.63
683,1,1,43.0,8,0.0,1,1,0,96754.8
556,2,1,38.0,8,0.0,2,0,0,417.41
669,3,2,30.0,7,139872.81,1,1,0,188795.85
641,1,2,37.0,2,0.0,2,1,0,3939.87
822,1,1,37.0,3,105563.0,1,1,0,182624.93
538,2,2,30.0,8,0.0,2,1,1,41192.95
681,1,2,37.0,7,69609.85,1,1,1,72127.83
520,1,1,31.0,4,93249.4,1,1,0,77335.75
747,2,2,41.0,5,94521.17,2,1,0,194926.86
599,3,1,61.0,1,124737.96,1,0,1,90389.61
582,1,1,52.0,2,151457.88,1,0,1,40893.61
659,1,1,31.0,4,118342.26,1,0,0,161574.19
